                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.41621,                  0.497,                0.50722,                0.80826,                0.79934,                0.85097,                0.87386,                0.72003,                0.79934,                0.85097,                0.87386,                0.70528,                0.66403,                 1.2634,                0.91347,                0.97696,              0.0002179,              0.0002179,              0.0002179
                     81,                0.41961,                0.50114,                0.49119,                0.81061,                0.77834,                0.85082,                0.85993,                 0.7125,                0.77834,                0.85082,                0.85993,                0.69071,                0.66072,                 1.2878,                0.98375,                0.98058,               0.000208,               0.000208,               0.000208
                     82,                0.42683,                0.49482,                0.49328,                0.81495,                0.79594,                0.84135,                0.86173,                0.70385,                0.79594,                0.84135,                0.86173,                0.68439,                0.67946,                 1.3388,                0.97278,                0.98649,              0.0001981,              0.0001981,              0.0001981
                     83,                 0.4267,                0.51067,                0.50164,                0.81749,                0.78602,                  0.851,                0.86294,                0.70389,                0.78602,                  0.851,                0.86294,                0.68607,                0.69149,                 1.3685,                0.94631,                0.98901,              0.0001882,              0.0001882,              0.0001882
                     84,                0.41442,                0.47887,                0.49765,                0.80954,                0.77806,                0.85557,                0.85338,                0.69392,                 0.7825,                0.85945,                 0.8598,                0.67722,                0.72345,                 1.3924,                0.94147,                  1.009,              0.0001783,              0.0001783,              0.0001783
                     85,                 0.4099,                 0.4836,                0.48049,                0.81526,                0.76169,                0.85325,                0.86382,                0.70999,                0.76169,                0.85325,                0.86382,                0.68832,                0.67273,                 1.3435,                0.95592,                 0.9747,              0.0001684,              0.0001684,              0.0001684
                     86,                0.41959,                0.50885,                0.49191,                0.80767,                 0.7856,                0.84027,                0.85993,                0.70692,                 0.7856,                0.84027,                0.85993,                0.68816,                 0.6759,                 1.3593,                0.99643,                0.97927,              0.0001585,              0.0001585,              0.0001585
                     87,                  0.414,                0.48477,                0.47901,                0.80553,                0.79189,                0.82042,                0.85168,                0.69934,                 0.7973,                0.82247,                0.85865,                0.68268,                 0.7084,                 1.3446,                 0.9728,                 1.0004,              0.0001486,              0.0001486,              0.0001486
                     88,                 0.4361,                0.50066,                0.50418,                0.81889,                0.74055,                 0.8359,                0.84792,                 0.6941,                0.74534,                 0.8388,                0.85154,                0.67476,                0.70293,                 1.3284,                0.97804,                0.99801,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.4041,                0.49228,                0.48041,                0.81004,                0.72972,                0.85102,                0.84977,                0.69731,                0.72972,                0.85102,                0.84977,                0.67096,                0.67716,                  1.343,                0.98627,                0.98214,              0.0001288,              0.0001288,              0.0001288
                     90,                0.39537,                0.46811,                0.46516,                0.80263,                0.73936,                0.85111,                0.84363,                0.68624,                0.74387,                0.85499,                0.85025,                0.66518,                0.71571,                 1.3855,                0.97146,                 1.0033,              0.0001189,              0.0001189,              0.0001189
